"","year","race","FORCE_USED","HAD_WEAPON"
"588",2014,"W",FALSE,FALSE
"589",2014,"Q",FALSE,TRUE
"590",2014,"B",FALSE,FALSE
"591",2014,"P",FALSE,FALSE
"592",2014,"B",FALSE,FALSE
"593",2014,"B",FALSE,FALSE
"594",2014,"B",FALSE,TRUE
"595",2014,"A",FALSE,FALSE
"596",2014,"W",FALSE,FALSE
"597",2014,"A",FALSE,FALSE
"598",2014,"B",TRUE,FALSE
"599",2014,"B",FALSE,FALSE
"600",2014,"B",FALSE,FALSE
"601",2014,"B",FALSE,FALSE
"602",2014,"Q",TRUE,FALSE
"603",2014,"W",FALSE,FALSE
"604",2014,"P",FALSE,FALSE
"605",2014,"Q",TRUE,FALSE
"606",2014,"B",FALSE,FALSE
"607",2014,"W",FALSE,FALSE
"608",2014,"B",FALSE,FALSE
"609",2014,"B",FALSE,FALSE
"610",2014,"B",TRUE,FALSE
"611",2014,"B",FALSE,FALSE
"612",2014,"Q",TRUE,FALSE
"613",2014,"B",FALSE,FALSE
"614",2014,"B",FALSE,FALSE
"615",2014,"P",TRUE,FALSE
"616",2014,"B",FALSE,FALSE
"617",2014,"Q",TRUE,FALSE
"618",2014,"B",TRUE,FALSE
"619",2014,"B",FALSE,FALSE
"620",2014,"Z",FALSE,FALSE
"621",2014,"B",FALSE,FALSE
"622",2014,"B",FALSE,FALSE
"623",2014,"B",FALSE,FALSE
"624",2014,"W",FALSE,FALSE
"625",2014,"B",FALSE,FALSE
"626",2014,"B",FALSE,FALSE
"627",2014,"Q",FALSE,FALSE
"628",2014,"P",TRUE,FALSE
"629",2014,"B",FALSE,FALSE
"630",2014,"B",FALSE,FALSE
"631",2014,"B",FALSE,FALSE
"632",2014,"Q",TRUE,FALSE
"633",2014,"B",FALSE,FALSE
"634",2014,"B",FALSE,FALSE
"635",2014,"B",TRUE,FALSE
"636",2014,"B",FALSE,FALSE
"637",2014,"Q",FALSE,FALSE
"638",2014,"B",FALSE,FALSE
"639",2014,"B",FALSE,FALSE
"640",2014,"P",FALSE,FALSE
"641",2014,"B",FALSE,FALSE
"642",2014,"B",TRUE,FALSE
"643",2014,"A",FALSE,FALSE
"644",2014,"B",FALSE,FALSE
"645",2014,"Q",FALSE,FALSE
"646",2014,"B",FALSE,FALSE
"647",2014,"B",FALSE,FALSE
